id;lawyer_id;lawyer_full_name;lawyer_phone_number
1;mobile Fish;Home Loan Account Table Computer;
2;Savings Account alarm;Tasty Metal Bacon;
3;Home Loan Account;web-readiness;
4;Steel zero administration;Multi-channelled Licensed;
5;Canyon HDD;Table Small Frozen Sausages Planner;
6;infomediaries;Investment Account;
7;copy convergence;Mayotte;
8;connect Markets Chief;capacitor archive;
9;compress South Georgia and the South Sandwich Islands;compelling mission-critical;
10;Small;deliverables reinvent 24 hour;
